"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3064997018485","18.5092232400552","18.5466971855959","17.1936819797033","11.5430460348078","11.3229912230238","11.3430091616755","11.4771831087164","11.2920970499034","12.230469548754","10.7986680994975","10.3413384803578","9.16904182303383","9.38479580771821","9.3562321018201","9.71001179777312","9.26564058035311","9.39819198234112","9.39590568718206","12.2837259772012","12.0437077284519","11.9102932556784","10.9099638916146","11.9350654316666","12.0858534859076","13.1115978061212","13.4541585167703","12.3185519874739","11.4866903221706","12.4720894899747","",
"Armenia","ARM","Logistics performance index: Overall (1=low to 5=high)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14","","","2.52","","2.56","","2.672723","","2.205513","","2.61","","",
"Armenia","ARM","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Statistical Capacity score (Overall average)","IQ.SCI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.7777777777778","84.4444444444444","86.6666666666667","90","92.2222222222222","93.3333333333333","92.2222222222222","92.2222222222222","86.6666666666667","88.8888888888889","87.7777777777778","93.3333333333333","92.2222333333333","91.1111","93.3333666666667","93.3333666666667","94.4444666666667",
"Armenia","ARM","CPIA fiscal policy rating (1=low to 6=high)","IQ.CPA.FISP.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","","","","","","","",
"Armenia","ARM","Industrial design applications, nonresident, by count","IP.IDS.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","10","17","","882","660","740","711","714","860","768","897","486","665","437","452","",
"Armenia","ARM","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","19.9","23","23","23","23","23","23","19.4","0","0","0","0","0","0","",
"Armenia","ARM","Time to resolve insolvency (years)","IC.ISV.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","",
"Armenia","ARM","Losses due to theft and vandalism (% of annual sales of affected firms)","IC.FRM.CRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","","","","5.3","","","","","","","1.3",
"Armenia","ARM","Private credit bureau coverage (% of adults)","IC.CRD.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","13.5","24.4","34.5","38.3","46.6","56","63.8","65.8","94.1","71.1","77.2","80","82.5","",
"Armenia","ARM","Primary government expenditures as a proportion of original approved budget (%)","GF.XPD.BUDG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.613870699069","98.6035164092502","98.2715996853011","102.008706629563","98.5470251339043","96.3533631344004","99.15587079741","99.0866790132901","107.919498768169","105.23390906419","110.638083585598","98.7634756611901","98.4831332027433","",
"Armenia","ARM","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52424200300","73172304416.8","100797800000","122332040782.6","139960814153","142025528422","151753625090","179052957519","210321000000","394858264388","408579270700","427211147743","475150492660","469577057759","548011494210","591217918053","",
"Armenia","ARM","Social contributions (% of revenue)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.082448556199","14.2543232675329","14.8262017223638","12.666552810745","12.6315310828822","14.2432790431012","12.9238503075137","13.3840445298085","13.0790933541963","1.61983528844496","1.40949242625845","0.726236230955159","0","0","0","0","",
"Armenia","ARM","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)","FX.OWN.TOTL.YG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8532419204712","","","10.3974113464355","","","46.8151016235352","","","",
"Armenia","ARM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.1833333333333","32.1916666666667","26.0766666666667","24.9358333333333","27.3491666666667","18.0777357591667","14.9016666666667","9.5987677864009","6.87450898516572","4.89601729381373","5.81313993524673","5.83668970684598","6.25430323671206","6.62801860934559","8.65292863099265","8.95025892533692","9.2480433144904","9.56911001362681","10.1602652886801","10.4257850294385","14.1481591743434","11.6156571999545","9.01333497947312","8.66373059436086","8.48695110316131","8.11789155473093",
"Armenia","ARM","Total reserves (% of total external debt)","FI.RES.TOTL.DT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1453571748603","16.8470709067743","29.9960089166889","32.3126680542977","37.4677115813853","36.4520825204391","29.6805177700659","30.8517994724099","23.3711746231509","25.0632144034571","25.1475013189965","25.9858192104295","33.9867997524663","50.1157712953938","53.8327542010855","38.9426901449576","40.6006069455792","29.5825877386078","26.0764547850923","23.5502739580063","25.9369504674683","17.4088735967411","20.1029241054578","22.3640247985952","22.6246288769631","21.0645038788923","23.9719799738151","",
"Armenia","ARM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.85","","","","","1.732","","","","","3.012","","","","","2.941","","","","","2.865","","","",
"Armenia","ARM","Population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","SF6 gas emissions (thousand metric tons of CO2 equivalent)","EN.ATM.SF6G.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","0","","","0","","0","","","","","","","","","","",
"Armenia","ARM","Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.METH.EG.KT.CE","","","","","","","","","","0","186.096861050587","198.997753081817","214.566491617729","232.764212051614","248.579237595044","257.356682982166","251.058126409106","230.41439348567","192.909141750681","156.270086885611","121.788048566559","94.5267956722621","79.8295250471718","79.0992589485806","79.5396669439046","77.2863628023592","72.9606866683923","63.3023658530572","929.205427906865","1085.36276026103","1312.42519535796","1207.1756100443","1128.11790614486","1064.14677947163","1215.42170901141","1117.27437087491","1251.97677166591","1322.2568806392","1316.43623338465","1376.18633730424","1306.29212073751","1246.14285891293","1276.42298208037","1339.84178885408","1383.51101959303","1502.67649732762","1589.5895349574","1693.87335434795","1792.58304746124","","","","","","","","","","","","",
