series_id,series_name,source_name,country_id,country_name,region,income_group,year,value
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2020,61.0
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2020,0.0
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2020,28.6
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2020,28.6
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2019,61.0
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2019,28.33
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2019,28.74
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2019,28.98
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,0.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,29.99
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,80.0
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,29.99
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2003,90.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2003,25.17
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2004,83.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2004,23.5
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2005,102.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2005,26.0
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2006,101.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2006,25.5
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2007,77.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2007,23.63
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2008,102.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2008,22.75
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2009,111.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2009,31.13
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2010,101.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2010,27.5
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2012,77.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2012,27.0
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2013,74.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2013,28.04
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2014,78.0
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2014,29.07
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,20.79
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,28.43
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,78.0
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,28.43
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,33.67
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,28.79
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,74.0
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,27.57
52440,"World Press Freedom Index: Abuses score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,24.85
10233,"World Press Freedom Index score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,30.38
10232,World Press Freedom Index rank,"Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,79.0
52439,"World Press Freedom Index: Underlying situation score (0-100, lower is better)","Reporters Without Borders, World Press Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,30.38
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,9.316196
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2014,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2013,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2012,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2011,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2010,10.0
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2009,9.884603
59069,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism: Terrorism Fatalities, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2008,10.0
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2018,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2017,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2016,9.349563
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2015,9.486287
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2014,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2013,9.472352
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2012,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2011,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2010,9.5
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2009,9.476921
52846,"Human Freedom Index (HFI): Security and Safety: Disappearance, conflict and terrorism, score (0-10, higher is better)","Cato Institute, Human Freedom Index",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2008,10.0
9929,"Freedom in the World: Political Rights rating (1-7, lower is more free)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,4.0
9930,"Freedom in the World: Civil Liberties rating (1-7, lower is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,4.0
71525,"Freedom in the World: Political Rights, Electoral Process, free and fair elections of head of state (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,2.0
71526,"Freedom in the World: Political Rights, Electoral Process, free and fair elections of legislative representatives (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,2.0
71527,"Freedom in the World: Political Rights, Electoral Process, electoral laws and framework fair, impartially implemented (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,2.0
9928,"Freedom in the World: Political Rights, Electoral Process score (0-12, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,6.0
71528,"Freedom in the World: Political Rights, Political Pluralism and Participation, right to organize in political party of choice (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,3.0
71529,"Freedom in the World: Political Rights, Political Pluralism and Participation, realistic opportunity for opposition in elections (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,3.0
71530,"Freedom in the World: Political Rights, Political Pluralism and Participation, political choices free of external influence (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,2.0
71531,"Freedom in the World: Political Rights, Political Pluralism and Participation, full political rights and electoral opportunities of ethnic, religious, or social groups (0-4, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,2.0
9924,"Freedom in the World: Political Rights, Political Pluralism and Participation score (0-16, higher is better)","Freedom House, Freedom in the World",51,Armenia,Europe and Eurasia,Upper Middle Income Country (World Bank Classification),2021,10.0
